Area,Bedrooms,Bathrooms,Age,Parking,Price
3219,1,1,23,2,15217287
1514,2,1,21,0,7980417
730,1,1,6,1,4514903
3065,1,2,22,3,15073648
2439,5,3,25,0,14267914
3459,4,3,8,1,18941272
1978,1,1,12,0,9627417
2008,5,3,25,0,12642741
2796,1,4,2,2,15011201
2964,2,1,1,1,15066445
926,2,1,12,2,5992435
3203,3,2,11,2,16958184
3345,3,1,19,1,17187586
1602,2,4,12,2,10193004
1499,3,1,7,0,8751276
2243,3,1,6,2,12416455
3284,4,4,28,3,18327811
1684,2,2,23,2,9452245
2990,4,3,7,1,17164277
2621,1,1,27,0,11929765
3170,2,4,19,0,16493457
2163,5,4,16,2,14413599
647,1,3,24,2,4178470
1802,4,2,14,0,10835183
2650,2,1,27,2,13432323
3094,2,2,11,1,16013579
2772,1,3,15,0,13566301
2086,3,2,1,1,12356916
922,1,4,26,0,5757582
1115,2,4,30,1,7045432
2761,5,4,30,1,16539992
3425,2,3,12,2,17921881
2719,4,1,7,1,14777636
1984,1,2,18,1,9685540
890,1,2,2,0,5301479
890,5,2,8,3,8029643
2808,2,4,7,3,15787833
1379,1,1,21,3,7302007
2334,4,4,27,0,13431198
848,4,3,25,0,6601735
1384,2,4,4,3,9220401
1740,4,2,27,0,10419656
2854,1,1,20,0,13090793
1568,2,4,15,3,9805130
2242,1,2,12,0,11198386
1686,4,3,13,3,11174316
1377,3,2,30,0,8215032
849,3,1,1,3,6772776
2775,2,1,30,0,13182351
880,5,1,21,1,7108389
1091,5,2,18,0,7945465
2317,5,3,29,2,14065681
3343,3,2,8,3,17780735
3351,3,4,10,0,17739267
2477,5,1,2,1,14876958
1686,2,3,28,0,9093150
2113,3,2,14,2,12313134
632,5,3,29,0,6009814
1683,1,1,23,1,8134077
1754,5,2,22,2,11356487
3415,3,4,8,0,18164281
3198,4,3,1,0,17865759
1135,3,2,23,3,7910978
3490,4,1,3,0,18236294
2834,1,3,18,1,14303664
1122,1,3,11,0,6499190
1460,2,1,11,3,8307060
1569,2,2,28,3,8586490
1334,3,4,25,1,8757766
1252,1,4,27,0,7152554
1511,2,4,11,2,9463151
1513,1,2,12,2,8200636
884,3,3,20,3,7190262
1956,1,1,28,2,9339241
2978,3,1,3,3,16138479
1884,4,1,12,1,11095095
781,4,1,16,1,6146413
2366,1,3,19,2,12052679
1830,5,3,21,3,12402027
2248,3,2,6,3,13163562
3374,2,3,12,0,17151635
1775,2,4,25,2,10550075
2409,4,2,16,3,14018434
3298,1,3,16,2,16288923
1562,3,2,25,1,8958511
700,1,2,15,0,4252538
2297,5,2,22,3,14304892
2236,2,2,20,0,11273764
2341,2,2,25,3,12162157
2883,2,1,14,1,14560713
3334,5,3,30,3,19132298
2347,5,4,28,1,14659232
2443,3,2,26,2,13490122
2584,2,3,14,0,13527607
1560,3,3,10,0,9465095
1217,2,4,22,1,7650845
863,4,4,10,3,8169470
855,2,4,12,0,6246358
2553,1,3,9,3,13652875
2804,5,2,15,1,16129193
2385,4,1,12,2,13706456
1276,4,2,19,0,8480160
3024,5,1,2,3,17350291
2491,2,1,8,3,13202754
1466,4,3,10,3,10388773
2326,3,1,15,0,12507621
813,3,2,20,0,5400713
727,2,2,26,0,4381284
1577,2,4,21,0,9462864
1492,4,3,24,2,9839939
3081,5,1,24,1,16840647
1042,5,1,29,2,7807537
2224,2,1,18,1,11114851
3455,3,1,25,0,17136569
2782,4,3,2,2,16032266
2320,4,1,13,2,13447071
3497,2,4,5,2,18875815
2580,4,4,26,2,15197960
1605,1,3,28,3,8728209
2503,5,4,10,0,15631817
1931,2,4,6,2,11510402
1994,3,3,17,0,11639722
1382,1,2,23,3,7756311
2874,2,4,20,3,15802945
670,1,3,7,3,5045123
1854,5,3,15,2,12564173
2854,3,3,22,3,15727076
1855,3,2,3,1,11003376
1089,5,2,6,1,8858219
1732,5,3,3,1,11979636
1531,3,2,9,0,9424581
1118,3,1,1,2,7388413
3212,4,1,27,0,16527151
2522,4,4,10,1,14852872
1634,4,1,26,0,9573172
2614,1,1,4,1,13103180
1844,1,2,3,3,10059650
2740,4,4,29,3,16016797
3010,4,3,18,0,16349053
1451,2,3,21,0,8119186
1582,2,1,5,0,8672361
2445,5,4,9,0,15120220
1780,3,4,2,1,11337405
3160,5,2,13,0,17866015
1520,2,3,26,1,8414878
844,2,3,19,2,6133485
1109,4,3,22,3,8475970
2649,5,4,14,0,15712297
2369,3,3,0,0,13450544
3361,5,1,24,2,18016685
1317,4,4,29,2,9291805
2997,4,4,2,3,17901363
2272,3,3,21,0,12417637
1950,4,4,9,3,13226818
750,4,1,10,2,6313977
1074,4,1,21,3,7791321
822,2,3,19,3,6237513
811,2,3,17,1,5676520
2394,4,1,0,1,13589071
1872,5,1,17,3,11746736
1520,1,4,30,0,7951450
2641,3,3,13,3,15204658
1598,4,2,12,1,10423929
1159,1,3,24,3,6921885
2679,3,1,9,2,14593925
1208,4,4,11,2,9639727
2825,4,4,29,2,16085316
3456,2,4,7,3,18322767
1903,4,4,12,1,12482889
751,2,3,27,0,5116194
1008,5,4,0,1,9265893
3281,2,1,15,2,16394507
3152,4,1,27,2,16918543
2156,3,4,27,0,11998744
1561,3,2,23,0,9104552
1003,1,4,5,2,6518853
788,3,1,9,2,5964049
2364,2,2,16,3,13031418
3392,2,2,5,0,17140126
3138,2,4,29,1,16139467
2488,3,4,8,0,14383853
1778,5,2,2,3,12313351
3006,3,4,22,2,16756027
1837,2,4,27,3,10603334
1571,4,3,18,2,10479071
689,4,3,0,0,6771356
1772,2,3,7,1,10211801
3376,2,1,28,0,16065939
2405,1,3,23,1,11892011
1808,3,4,5,1,11249579
2809,3,3,26,1,15009952
2573,3,3,25,0,13994581
908,2,2,27,3,6195384
2098,1,4,0,2,12103636
1106,4,3,21,2,8401534
3215,3,1,21,1,16486879
702,5,3,29,1,6450287
3202,4,3,20,3,17781343
1172,1,1,9,3,6420761
998,2,2,12,3,6780033
3346,5,4,18,1,19342037
3282,1,4,19,3,16887328
734,3,2,14,3,6000582
2085,1,3,17,2,10770991
2230,3,2,30,0,11961805
975,2,1,1,2,6267900
1115,5,2,2,1,8793941
1554,3,2,25,0,8858743
1192,2,3,25,1,7004266
3307,1,2,0,2,16530989
3011,3,1,5,2,15729444
1119,4,1,23,0,7409880
2436,3,1,14,1,12707471
3298,5,3,14,0,18304780
2561,4,4,21,0,15013584
2416,1,1,10,1,11540872
1116,3,3,12,2,8147755
2670,5,4,3,0,16618116
1480,4,4,28,1,10093914
1988,4,4,13,0,12448730
2348,3,3,11,1,13538305
874,1,1,2,3,5234255
2126,2,1,18,2,10895168
2282,3,4,27,0,12795601
3059,3,3,3,1,16602746
3289,4,2,27,0,17292621
2878,3,1,24,2,14838144
2357,5,1,19,2,13611859
1338,3,3,29,2,8614074
625,2,2,18,3,4635465
1181,1,1,23,1,5983968
2319,4,3,5,2,14187275
1928,5,1,28,0,11189137
1244,5,1,21,0,8408320
2414,4,4,19,3,14922303
1718,2,1,11,3,9422276
1760,5,4,16,2,12067623
1503,4,1,0,1,9729561
1465,2,3,9,2,8843312
631,4,4,5,1,6813176
2781,2,3,2,3,15058857
2386,1,4,29,0,12040267
2958,4,4,22,3,17164578
1071,4,1,30,2,7099722
3131,4,3,2,3,17900505
1596,4,4,16,0,10696991
1870,3,2,10,1,10645089
2690,1,2,28,2,13173154
3243,2,2,3,1,16586902
1408,2,2,24,0,7521751
3172,4,4,24,3,18365912
3233,5,3,27,2,18181790
2401,1,4,14,2,12842516
3022,1,3,16,0,14874486
2491,4,1,1,2,14335522
914,1,4,14,0,5934579
2941,2,3,19,3,15835221
1217,1,4,3,2,7589925
2666,2,1,7,3,14132767
2746,5,2,11,2,16178635
2186,4,3,21,0,12812905
869,3,1,17,3,6233449
1632,5,2,10,0,10642298
2032,3,4,4,0,12268620
2889,4,3,26,1,16252463
982,4,3,0,2,8292869
1338,2,3,30,3,8022332
1527,2,2,2,2,8927553
2679,5,1,21,2,15117914
